test_filename train_filename dist1 dist2 dist3 dist4 dist5
MB008.jpg image109.jpg 24831.043 24831.043 0.797 0.101 0.634
MB008.jpg image110.jpg 32841.520 32841.520 0.610 0.215 0.481
MB008.jpg image111.jpg 29750.869 29750.869 0.683 0.165 0.545
MB008.jpg image112.jpg 29190.949 29190.949 0.702 0.173 0.543
MB008.jpg image115.jpg 31837.729 31837.729 0.624 0.219 0.487
MB008.jpg image117.jpg 17720.596 17720.596 0.936 0.071 0.731
MB008.jpg image121.jpg 36118.742 36118.742 0.500 0.263 0.447
MB008.jpg image125.jpg 37258.049 37258.049 0.426 0.369 0.378
MB008.jpg image126.jpg 32215.994 32215.994 0.613 0.187 0.525
MB008.jpg image127.jpg 32666.719 32666.719 0.598 0.208 0.492
MB008.jpg image128.jpg 36403.428 36403.428 0.485 0.262 0.438
MB008.jpg image129.jpg 34876.879 34876.879 0.520 0.299 0.410
MB008.jpg image131.jpg 35360.605 35360.605 0.498 0.315 0.412
MB008.jpg image132.jpg 36551.712 36551.712 0.477 0.280 0.424
MB008.jpg image134.jpg 30922.345 30922.345 0.651 0.172 0.535
MB008.jpg image135.jpg 36280.726 36280.726 0.487 0.274 0.427
MB008.jpg image136.jpg 31838.507 31838.507 0.624 0.215 0.492
MB008.jpg image137.jpg 31448.351 31448.351 0.637 0.233 0.483
MB008.jpg image138.jpg 35203.610 35203.610 0.506 0.309 0.414
MB008.jpg image139.jpg 34252.507 34252.507 0.549 0.238 0.465
MB008.jpg image140.jpg 33569.420 33569.420 0.569 0.228 0.473
MB008.jpg ML002.jpg 37196.938 37196.938 0.453 0.290 0.407
MB008.jpg ML003.jpg 32105.520 32105.520 0.617 0.212 0.476
MB008.jpg ML004.jpg 36733.307 36733.307 0.461 0.306 0.394
MB008.jpg ML005.jpg 36881.680 36881.680 0.459 0.289 0.410
MB008.jpg ML006.jpg 33461.385 33461.385 0.579 0.206 0.475
MB008.jpg ML007.jpg 37502.407 37502.407 0.447 0.318 0.399
MB008.jpg ML008.jpg 41242.687 41242.687 0.265 0.473 0.314
MB008.jpg ML009.jpg 36777.522 36777.522 0.479 0.258 0.425
MB008.jpg ML010.jpg 37182.382 37182.382 0.445 0.338 0.372
MB008.jpg ML011.jpg 39840.020 39840.020 0.331 0.431 0.329
MB008.jpg ML012.jpg 35639.559 35639.559 0.515 0.225 0.460
MB008.jpg ML013.jpg 36995.466 36995.466 0.457 0.300 0.398
MB008.jpg ML014.jpg 36784.973 36784.973 0.457 0.334 0.374
MB008.jpg ML015.jpg 35411.717 35411.717 0.513 0.248 0.435
MB008.jpg ML016.jpg 34702.270 34702.270 0.548 0.237 0.445
MB008.jpg WL001.jpg 32970.076 32970.076 0.600 0.207 0.501
MB008.jpg WL002.jpg 19193.401 19193.401 0.912 0.098 0.661
MB008.jpg WL004.jpg 32987.942 32987.942 0.597 0.210 0.495
MB008.jpg WL005.jpg 33765.611 33765.611 0.571 0.219 0.479
MB008.jpg WL006.jpg 18608.724 18608.724 0.927 0.089 0.672
MB008.jpg WL007.jpg 32526.030 32526.030 0.605 0.215 0.484
MB008.jpg WL008.jpg 32036.561 32036.561 0.623 0.204 0.496
MB008.jpg WL009.jpg 32126.371 32126.371 0.617 0.226 0.480
MB008.jpg WL010.jpg 25164.661 25164.661 0.789 0.101 0.631
MB008.jpg WL011.jpg 13081.394 13081.394 0.963 0.049 0.775
MB008.jpg WL012.jpg 32029.170 32029.170 0.620 0.211 0.492
MB008.jpg WL013.jpg 31469.366 31469.366 0.636 0.208 0.492
MB008.jpg WL014.jpg 31645.141 31645.141 0.631 0.214 0.488
MB008.jpg WL015.jpg 35253.285 35253.285 0.508 0.317 0.408
MB008.jpg WL016.jpg 19508.346 19508.346 0.919 0.077 0.685
ML013.jpg image003.jpg 9797.038 9797.038 0.928 0.039 0.786
ML013.jpg image004.jpg 10000.733 10000.733 0.927 0.046 0.771
ML013.jpg image005.jpg 9938.057 9938.057 0.931 0.043 0.780
ML013.jpg image006.jpg 6470.960 6470.960 0.969 0.017 0.865
ML013.jpg image008.jpg 9260.918 9260.918 0.938 0.038 0.811
ML013.jpg image009.jpg 19392.428 19392.428 0.725 0.111 0.614
ML013.jpg image010.jpg 11451.048 11451.048 0.898 0.049 0.783
ML013.jpg image011.jpg 12540.247 12540.247 0.876 0.062 0.734
ML013.jpg image012.jpg 6902.363 6902.363 0.964 0.024 0.846
ML013.jpg image013.jpg 8627.358 8627.358 0.944 0.034 0.817
ML013.jpg image014.jpg 11089.992 11089.992 0.905 0.048 0.780
ML013.jpg image015.jpg 11303.802 11303.802 0.907 0.050 0.757
ML013.jpg image016.jpg 8874.785 8874.785 0.941 0.036 0.797
ML013.jpg image017.jpg 9531.086 9531.086 0.932 0.039 0.786
ML013.jpg image019.jpg 9422.075 9422.075 0.933 0.034 0.822
ML013.jpg image020.jpg 11839.444 11839.444 0.891 0.056 0.752
ML013.jpg image021.jpg 8987.663 8987.663 0.939 0.042 0.782
ML013.jpg image022.jpg 10837.212 10837.212 0.924 0.049 0.764
ML013.jpg image023.jpg 8047.623 8047.623 0.952 0.032 0.827
ML013.jpg image027.jpg 10122.399 10122.399 0.925 0.045 0.778
ML013.jpg image030.jpg 22652.944 22652.944 0.660 0.145 0.564
ML013.jpg image031.jpg 9280.067 9280.067 0.935 0.037 0.807
ML013.jpg image032.jpg 9363.298 9363.298 0.933 0.039 0.792
ML013.jpg image033.jpg 9024.866 9024.866 0.940 0.040 0.808
ML013.jpg image035.jpg 9940.802 9940.802 0.926 0.035 0.814
ML013.jpg image036.jpg 13366.360 13366.360 0.858 0.063 0.726
ML013.jpg image037.jpg 8347.547 8347.547 0.949 0.032 0.815
ML013.jpg image038.jpg 11709.175 11709.175 0.905 0.053 0.753
ML013.jpg image039.jpg 9863.109 9863.109 0.925 0.042 0.768
ML013.jpg image040.jpg 10650.226 10650.226 0.913 0.059 0.749
ML013.jpg image042.jpg 20214.190 20214.190 0.714 0.122 0.592
ML013.jpg image043.jpg 8084.212 8084.212 0.951 0.035 0.806
ML013.jpg image044.jpg 9284.973 9284.973 0.935 0.037 0.804
ML013.jpg image048.jpg 14561.733 14561.733 0.831 0.064 0.748
ML013.jpg image049.jpg 8664.683 8664.683 0.945 0.034 0.812
ML013.jpg image050.jpg 8502.768 8502.768 0.950 0.032 0.812
ML013.jpg image051.jpg 8560.299 8560.299 0.954 0.030 0.820
ML013.jpg image052.jpg 14593.558 14593.558 0.835 0.078 0.685
ML013.jpg image054.jpg 9000.457 9000.457 0.941 0.036 0.814
ML013.jpg image055.jpg 10721.922 10721.922 0.917 0.048 0.769
ML013.jpg image056.jpg 10960.685 10960.685 0.909 0.044 0.763
ML013.jpg image057.jpg 9247.540 9247.540 0.936 0.040 0.798
ML013.jpg image058.jpg 5644.496 5644.496 0.977 0.015 0.876
ML013.jpg image059.jpg 10740.011 10740.011 0.919 0.050 0.767
ML013.jpg image060.jpg 9334.780 9334.780 0.937 0.041 0.803
ML013.jpg image061.jpg 12116.343 12116.343 0.887 0.063 0.727
ML013.jpg image062.jpg 6768.687 6768.687 0.966 0.019 0.869
ML013.jpg image063.jpg 9652.748 9652.748 0.929 0.047 0.778
ML013.jpg image064.jpg 7816.041 7816.041 0.954 0.027 0.825
ML013.jpg image065.jpg 8314.647 8314.647 0.948 0.029 0.830
ML013.jpg image066.jpg 13136.807 13136.807 0.870 0.061 0.726
ML013.jpg image068.jpg 9043.421 9043.421 0.941 0.030 0.805
ML013.jpg image071.jpg 12052.566 12052.566 0.898 0.056 0.746
ML013.jpg image072.jpg 10302.506 10302.506 0.923 0.046 0.773
ML013.jpg image075.jpg 10741.219 10741.219 0.920 0.048 0.774
ML013.jpg image076.jpg 9999.913 9999.913 0.928 0.040 0.785
ML013.jpg image077.jpg 8942.662 8942.662 0.942 0.036 0.818
ML013.jpg image079.jpg 28205.715 28205.715 0.511 0.210 0.473
ML013.jpg image080.jpg 6469.718 6469.718 0.969 0.019 0.855
ML013.jpg image082.jpg 19678.567 19678.567 0.730 0.117 0.597
ML013.jpg image083.jpg 11669.303 11669.303 0.899 0.057 0.745
ML013.jpg image084.jpg 7317.870 7317.870 0.961 0.023 0.856
ML013.jpg image085.jpg 10155.759 10155.759 0.925 0.046 0.769
ML013.jpg image086.jpg 7877.186 7877.186 0.953 0.027 0.848
ML013.jpg image087.jpg 18513.967 18513.967 0.748 0.114 0.606
ML013.jpg image090.jpg 17733.520 17733.520 0.764 0.109 0.623
ML013.jpg image091.jpg 6958.031 6958.031 0.966 0.023 0.855
ML013.jpg image092.jpg 17394.881 17394.881 0.789 0.099 0.651
ML013.jpg image093.jpg 18837.575 18837.575 0.736 0.123 0.594
ML013.jpg image094.jpg 8729.703 8729.703 0.943 0.035 0.817
ML013.jpg image099.jpg 21084.025 21084.025 0.696 0.120 0.595
ML013.jpg image101.jpg 8763.054 8763.054 0.945 0.028 0.831
ML013.jpg image103.jpg 9603.437 9603.437 0.933 0.045 0.779
ML013.jpg image106.jpg 13841.177 13841.177 0.853 0.080 0.689
ML013.jpg image109.jpg 14883.009 14883.009 0.860 0.088 0.691
ML013.jpg image110.jpg 9441.378 9441.378 0.960 0.038 0.813
ML013.jpg image111.jpg 10746.270 10746.270 0.919 0.047 0.767
ML013.jpg image112.jpg 12757.979 12757.979 0.878 0.074 0.709
ML013.jpg image115.jpg 10111.266 10111.266 0.925 0.045 0.777
ML013.jpg image117.jpg 23956.190 23956.190 0.604 0.180 0.513
ML013.jpg image121.jpg 11580.024 11580.024 0.911 0.062 0.739
ML013.jpg image125.jpg 12849.156 12849.156 0.870 0.060 0.735
ML013.jpg image126.jpg 10945.643 10945.643 0.913 0.063 0.743
ML013.jpg image127.jpg 9275.827 9275.827 0.934 0.039 0.798
ML013.jpg image128.jpg 8288.115 8288.115 0.953 0.030 0.817
ML013.jpg image129.jpg 7983.877 7983.877 0.953 0.029 0.824
ML013.jpg image131.jpg 9043.000 9043.000 0.942 0.030 0.820
ML013.jpg image132.jpg 8429.986 8429.986 0.950 0.033 0.816
ML013.jpg image134.jpg 10539.518 10539.518 0.924 0.050 0.768
